"n_p"	"r_m"	"r_selection"	"sd_fluc"	"physig_z1"	"physig_z2"
"1"	0	0.9	0	1	0.99468826009991	0.994681452276662
"2"	0	0.9	0	2	0.993873324277357	0.994296571705832
"3"	0	0.9	0	4	0.98971461204479	0.991641037284869
"4"	0	0.9	0.9	1	0.987283705730883	0.989744619327325
"5"	0	0.9	0.9	2	0.985589369308513	0.980386261150605
"6"	0	0.9	0.9	4	0.992624415829777	0.992078987460201
"7"	0	0.9	-0.9	1	0.988224609439388	0.977952314846204
"8"	0	0.9	-0.9	2	0.993623026971655	0.994793004125493
"9"	0	0.9	-0.9	4	0.973583423952738	0.984071326374932
"19"	0.2	0.9	0	1	0.976749733920333	0.994036412207999
"20"	0.2	0.9	0	2	0.997919628381562	0.995201340797269
"21"	0.2	0.9	0	4	0.995832121321	0.994964529249631
"22"	0.2	0.9	0.9	1	0.992449186403486	0.994107248035485
"23"	0.2	0.9	0.9	2	0.97879613207576	0.979348211914305
"24"	0.2	0.9	0.9	4	0.996265386099753	0.995216361729342
"25"	0.2	0.9	-0.9	1	0.984301081867535	0.981314435515544
"26"	0.2	0.9	-0.9	2	0.980754180269974	0.981772366120406
"27"	0.2	0.9	-0.9	4	0.989196319291696	0.990305329970653
"37"	0.4	0.9	0	1	0.994294126876419	0.982621428339768
"38"	0.4	0.9	0	2	0.992920982998388	0.995937017621793
"39"	0.4	0.9	0	4	0.987887406645622	0.986076411816745
"40"	0.4	0.9	0.9	1	0.978687568159588	0.970090089910775
"41"	0.4	0.9	0.9	2	0.99444687638111	0.996622052455957
"42"	0.4	0.9	0.9	4	0.984952111120102	0.985299558751342
"43"	0.4	0.9	-0.9	1	0.987004910774252	0.987903508546415
"44"	0.4	0.9	-0.9	2	0.987363103460732	0.988303849665819
"45"	0.4	0.9	-0.9	4	0.980951332828819	0.974126878108623
"55"	0.6	0.9	0	1	0.987014274237426	0.998310392927381
"56"	0.6	0.9	0	2	0.992996352185657	0.989732984592038
"57"	0.6	0.9	0	4	0.989505284369593	0.991172081563255
"58"	0.6	0.9	0.9	1	0.990634320365358	0.99517337784591
"59"	0.6	0.9	0.9	2	0.99458374377878	0.994504263658243
"60"	0.6	0.9	0.9	4	0.988897190852899	0.989306715425962
"61"	0.6	0.9	-0.9	1	0.986155792812507	0.974365384073406
"62"	0.6	0.9	-0.9	2	0.982344560716157	0.965424579866616
"63"	0.6	0.9	-0.9	4	0.983402180892576	0.971006168310323
"73"	0.8	0.9	0	1	0.975064353109789	0.989749701280816
"74"	0.8	0.9	0	2	0.990916057087952	0.982947361768832
"75"	0.8	0.9	0	4	0.988172163413159	0.992501370179706
"76"	0.8	0.9	0.9	1	0.997189394996404	0.990459311024416
"77"	0.8	0.9	0.9	2	0.996188552382126	0.993461310623215
"78"	0.8	0.9	0.9	4	0.994477121064721	0.994016058576024
"79"	0.8	0.9	-0.9	1	0.973728696430355	0.958446708078718
"80"	0.8	0.9	-0.9	2	0.96585929437856	0.967695586908315
"81"	0.8	0.9	-0.9	4	0.971709227089812	0.974012139982516
"91"	1	0.9	0	1	0.988896060623526	0.987911930364177
"92"	1	0.9	0	2	0.990759645527838	0.994717157965138
"93"	1	0.9	0	4	0.997733309440759	0.996237702785662
"94"	1	0.9	0.9	1	0.982534533994077	0.981816900677175
"95"	1	0.9	0.9	2	0.994792472216277	0.99363321208194
"96"	1	0.9	0.9	4	0.994188445617743	0.996259606302054
"97"	1	0.9	-0.9	1	0.9825138025737	0.966476956096372
"98"	1	0.9	-0.9	2	0.967268428734627	0.989784989955882
"99"	1	0.9	-0.9	4	0.986269447287511	0.975539494783622
