"n_p"	"r_m"	"r_selection"	"sd_fluc"	"physig_z1"	"physig_z2"
"1"	0	0.9	0	10	0.036150836191343	0.0869542999679851
"2"	0	0.9	0	20	0.354052801439575	0.194939578446301
"3"	0	0.9	0.9	10	0.527158134673972	0.606135779064888
"4"	0	0.9	0.9	20	0.597251078651647	0.484740444702825
"5"	0	0.9	-0.9	10	0.450477475680918	0.548623986610894
"6"	0	0.9	-0.9	20	0.229823753951143	0.35810573880522
"13"	0.2	0.9	0	10	0.484617945461924	0.594765215762169
"14"	0.2	0.9	0	20	0.400974373280586	0.245960569444198
"15"	0.2	0.9	0.9	10	0.324252511959897	0.253208747282228
"16"	0.2	0.9	0.9	20	0.389859508373263	0.369614351123604
"17"	0.2	0.9	-0.9	10	0.767504771882777	0.807990542249691
"18"	0.2	0.9	-0.9	20	0.69064877781701	0.783087378738567
"25"	0.4	0.9	0	10	0.335967975932514	0.107451313811562
"26"	0.4	0.9	0	20	0.712343029117783	0.0893434233895099
"27"	0.4	0.9	0.9	10	0.246854324416073	0.0914988408533026
"28"	0.4	0.9	0.9	20	0.456311761950938	0.420909334019158
"29"	0.4	0.9	-0.9	10	0.662410177653872	0.752071212615104
"30"	0.4	0.9	-0.9	20	0.341023448875322	0.545927708587195
"37"	0.6	0.9	0	10	0.468423258886231	0.38144256021708
"38"	0.6	0.9	0	20	0.371349229801402	0.473173313446186
"39"	0.6	0.9	0.9	10	0.442297697478648	0.467165425985784
"40"	0.6	0.9	0.9	20	0.630255804501002	0.590786591467278
"41"	0.6	0.9	-0.9	10	0.659128194028734	0.909294598933199
"42"	0.6	0.9	-0.9	20	0.586209785278038	0.824730596424137
"49"	0.8	0.9	0	10	0.275160739340893	0.42296404829112
"50"	0.8	0.9	0	20	0.56074803906196	0.115951640787218
"51"	0.8	0.9	0.9	10	0.251350449243224	0.262049415658943
"52"	0.8	0.9	0.9	20	0.451274359353111	0.198690673500561
"53"	0.8	0.9	-0.9	10	0.80686801388436	0.660854493129098
"54"	0.8	0.9	-0.9	20	0.854700398308735	0.710505270542249
"61"	1	0.9	0	10	0.25143172030163	0.349709932991949
"62"	1	0.9	0	20	0.401240256569623	0.495985617349743
"63"	1	0.9	0.9	10	0.482407007942734	0.289504285294869
"64"	1	0.9	0.9	20	0.302294202199078	0.113496460067637
"65"	1	0.9	-0.9	10	0.842749085437905	0.786911297282227
"66"	1	0.9	-0.9	20	0.449803400317305	0.776027213256984
